Short Name,Last Checked,Full Name,From,To,Abstract Sub.,Full Paper Sub.,Registration,,,Type,"Location (Country, City)",Important,What,Team,Who,Until When,Homepage,,,,,,,,,,,,
STC-2020,10.02.2021,56th Symposium on Theoretical Chemistry (Canceled due to Coronavirus),13.09.2020,17.09.2020,13.07.2020,,31.08.2020,17.09.2020,17.09.2020,Symposium,"Austria, Innsbruck",,,,,,http://www.stc2020.at/,,,,,,,,,,,,
NHISS2020,10.02.2021,New Horizons in Chemical Software,23.11.2020,26.11.2020,,,23.11.2020,26.11.2020,26.11.2020,Conference,Online,,,,,,https://www.edison.re.kr/web/nhiss/home,,,,,,,,,,,,
ISComb-38-2020,10.02.2021,38th International Symposium on Combustion,24.01.2021,29.01.2021,21.10.2020,07.11.2019,08.11.2020,29.01.2021,29.01.2021,Symposium,"Australia, Adelaide",yes,,Kinetics,"Can, Wassja",,http://www.combustionsymposia.org/2020/home,,,,,,,,,,,,
virtualwinterschool,04.02.2021,Virtual Winter School on Computational Chemistry (registration is free),15.02.2021,19.02.2021,,,,19.02.2021,19.02.2021,Workshop,Online,,,(),,,https://winterschool.cc/,,,,,,,,,,,,
Physical Chemistry-2020,04.02.2021,7th International Conference on Physical and Theoretical Chemistry,22.02.2021,23.02.2021,,,,23.02.2021,23.02.2021,Conference,"The Netherlands, Amsterdam",,,(),,,https://physicalchemistry.annualcongress.com/,,,,,,,,,,,,
MolMod 2021,04.02.2021,International Workshop on Molecular Modeling and Simulation,01.03.2021,02.03.2021,12.10.2020,,22.02.2021,02.03.2021,02.03.2021,Conference,"Frankfurt am Main, Germany",,,CTY,,,https://processnet.org/MolMod21.html,,,,,,,,,,,,
March Meeting 2021,14.10.2020,March 2021 American Physical Society Meeting,15.03.2021,19.03.2021,06.11.2020,,25.01.2021,19.03.2021,19.03.2021,Conference,Online,,,CTY,Wassja. Can. Lukas,,https://march.aps.org/,,,,,,,,,,,,
ECM2021,10.02.2021,10th European Combustion Meeting (ECM) (virtual),14.04.2021,15.04.2021,20.12.2020,01.03.2021,12.02.2021,15.04.2021,15.04.2021,Conference,"Napoli, Italy",,,Kinetics,"Can, Indu, Luk",,https://www.ecm2021napoli.eu/,,,,,,,,,,,,
Batterietag NRW,04.02.2021,Batterietag NRW/Symposium Kraftwerk Batterie,27.04.2021,29.04.2021,30.10.2020,,28.02.2021,29.04.2021,29.04.2021,Symposium,"Germany, Aachen",,,,,,https://battery-power.eu/,,,,,,,,,,,,
Bunsentagung-2021,04.02.2021,Bunsentagung 2021 (virtual),10.05.2021,12.05.2021,30.03.2021,,,12.05.2021,12.05.2021,Conference,"Regensburg, Germany",,,"B4, Kat-Design",,,https://veranstaltungen.gdch.de/tms/frontend/index.cfm?l=10753&sp_id=2&selMicrosite=62433,,,,,,,,,,,,
Macro2020,04.02.2021,48th World Polymer Congress,16.05.2021,20.05.2021,29.1.2021,,28.02.2021,20.05.2021,20.05.2021,Conference,"South Korea, Jeju Island",,,B4,,,http://www.macro2020.org/,,,,,,,,,,,,
Thermo-Kolloquium 2021,04.02.2021,Thermodynamik-Kolloquium 2021,27.09.2021,29.09.2021,21.05.2021,,,27.09.2021,27.09.2021,Conference,"Germany, Chemnitz",yes,,"EOS, Design, CTY, B4",,,https://dechema.de/TDY21.html,,,,,,,,,,,,
GoogleSoC-2021,10.02.2021,Google Summer of Code 2021,07.06.2021,31.08.2021,19.02.2021,13.04.2021,,07.06.2021,07.06.2021,Workshop,Online,,,,,,https://developers.google.com/open-source/gsoc/timeline,,,,,,,,,,,,
Thermosymposium,04.02.2021,21st Symposium on Thermophysical Properties,20.06.2021,25.06.2021,22.11.2020,,,20.06.2021,20.06.2021,Symposium,"Boulder, CO, USA",,,"EOS, PD, Kinetics",,,https://thermosymposium.org/,,,,,,,,,,,,
FSC2021,21.12.2020,Fuel Science: From Production to Propulsion. 9th International Conference,22.06.2021,24.06.2021,28.02.2021,,,22.06.2021,22.06.2021,Conference,"Germany, Aachen",,,Kinetics,"Indu, Can",,https://www.fuelcenter.rwth-aachen.de/cms/Fuelcenter/Austausch/Internationale-Konferenz/~jzawj/9-Internationale-Konferenz/lidx/1/,,,,,,,,,,,,
Flammentag,04.02.2021,30. Deutscher Flammentag,28.09.2021,29.09.2021,15.1.2021,25.06.2021,11.07.2021,25.06.2021,25.06.2021,Conference,"Germany, Hannover",,,Kinetics,,,https://www.itv.uni-hannover.de/de/institut/veranstaltungen/veranstaltungen/news/30-deutscher-flammentag-1/,,,,,,,,,,,,
ESAT-2021,04.02.2021,31st European Symposium on Applied Thermodynamics,04.07.2021,07.07.2021,31.01.2020,,,04.07.2021,04.07.2021,Conference,"France, Paris",,,"EOS, Design",IZU: prepare an abstract,,http://www.esat2020.com/,,,,,,,,,,,,
Telluride Science Research Center,07.12.2020,Geometry of Chemical Reaction Dynamics in Gas and Condensed Phases,17.07.2021,25.07.2021,,,15.01.2021,17.07.2021,17.07.2021,Workshop,"Telluride, Colorado, USA",,,"CTY, kinetics",Felix,,https://www.telluridescience.org/meetings/workshop-details?wid=915,,,,,,,,,,,,
Pacifichem2021,04.02.2021,The International Chemical Congress of Pacific Basin Societies 2021,16.12.2021,21.12.2021,12.04.2021,,20.10.2021,20.10.2021,20.10.2021,Conference,"USA, Honolulu",,,Kinetics & General,,,https://pacifichem.org/,,,,,,,,,,,,
AICHE-2021,10.02.2021,2021 AICHE Annual Meeting,07.11.2021,12.11.2021,01.04.2021,,,07.11.2021,07.11.2021,Conference,"USA, Boston",,,"CTY, EOS, PD, B4",Wassja. Can. Lukas,,https://www.aiche.org/conferences/aiche-annual-meeting/2021,,,,,,,,,,,,
MCS12,04.02.2021,12th Mediterranean Combustion Symposium,TBA 2021,TBA 2021,,,,08.05.2121,31.12.2021,Symposium,,,,,,,,,,,,,,,,,,,
ISComb-39-2022,30.04.2021,39th International Symposium in Combustion,24.07.2022,29.07.2022,,05.01.2022,,05.01.2022,05.01.2022,Symposium,"Canada, Vancouver",,,Kinetics,,,http://www.combustionsymposia.org/2022/home,,,,,,,,,,,,
WATOC-2020,04.02.2021,12th Triennial Congress of the World Association of Theoretical and Computational Chemists (postponed to 2022),03.07.2022,08.07.2022,01.03.2022,,01.04.2022,01.03.2022,01.03.2022,Conference,"Canada, Vancouver",no,,(Basic QM),Wassja will check,,http://www.watoc2020.ca/,,,,,,,,,,,,
GRS2021,04.02.2021,Computational Chemistry (GRS),16.07.2022,17.07.2022,16.04.2022,,18.06.2022,16.04.2022,16.04.2022,Seminar,"Spain, Castelldefels",,,,,,https://www.grc.org/computational-chemistry-grs-conference/2022/,,,,,,,,,,,,
HDQD 2020,04.02.2021,7th High Dimensional Quantum Dynamics Workshop (postponed to 12.-15.7.2022),12.07.2022,15.07.2022,01.05.2020,,30.4.2022,30.04.2022,30.04.2022,Workshop,"The Netherlands, Groningen",,,LAM,,,https://www.hdqd2021.org/,,,,,,,,,,,,
PPEPPD 2022,04.02.2021,PPEPPD: International Conference on Properties and Phase Equilibria for Process and Product Design,22.05.2022,26.05.2022,,,,22.05.2022,22.05.2022,Conference,"Spain, Tarragona",,,"EOS, Design",,,http://ppeppd.org/,,,,,,,,,,,,
