Number;IUPAC-Name;Charge;Molecular Formula;Isomeric SMILES;Water;DMSO;Acetonitrile;Methanol;dG_gas;Water_neutral;DMSO_neutral;Acetonitrile_neutral;Methanol_neutral;Water_neutral_ref;Water_pka;DMSO_pka;Acetonitrile_pka;Methanol_pka;Water_pka_ref;DMSO_pka_ref;Acetonitrile_pka_ref;Methanol_pka_ref;;;;;
1;acetylene;-1;H1C2;C#C;-81.2;;;;371.6;0;-2.3;-2.2;-1.7;53;21.7;;;;50;;;;;;;;
2;methanamine;1;H6C1N1;CN;-73.0;-79.2;-66.6;-73.9;206.9;-4.6;-2.9;-3.0;-4.8;53;10.6;11;18.4;11;48;26;2;34;;;;;
3;propan-1-amine;1;H10C3N1;CCCN;-67.7;;-61.9;;212.0;-4.4;-3.3;-3.7;-5.4;53;10.6;;18.2;;48;;13,14;;;;;;
4;propan-2-amine;1;H10C3N1;CC(C)N;-65.5;;;;213.5;-3.7;-3.4;-3.7;-5.5;46;10.6;;;;48;;;;;;;;
5;2-methylpropan-2-amine;1;H12C4N1;CC(C)(C)N;-63.6;;-58.4;;215.7;-3.9;-3.6;-4.1;-5.8;46;10.7;;18.1;;48;;2;;;;;;
6;cyclohexanamine;1;H14C6N1;C1CCC(CC1)N;-64.3;;;;216.2;-5.1;-4.8;-5.4;-7.2;46;10.7;;;;48;;;;;;;;
7;prop-2-en-1-amine;1;H8C3N1;C=CCN;-68.0;;;;210.1;-4.3;-4.1;-4.3;-5.7;46;9.5;;;;48;;;;;;;;
8;N-methylmethanamine;1;H8C2N1;CNC;-64.9;;;;214.8;-4.3;-2.6;-2.9;-4.5;53;10.7;;;;48;;;;;;;;
9;N-ethylethanamine;1;H12C4N1;CCNCC;-59.7;;-54.3;;220.2;-4.1;-3.0;-3.6;-5.4;53;11;;18.8;;48;;6;;;;;;
10;N-propylpropan-1-amine;1;H16C6N1;CCCNCCC;-57.1;;;;222.4;-3.7;-3.3;-4.2;-5.9;53;11;;;;48;;;;;;;;
11;N-prop-2-enylprop-2-en-1-amine;1;H12C6N1;C=CCNCC=C;-58.6;;;;218.9;-4;-4.7;-5.2;-6.1;46;9.3;;;;48;;;;;;;;
12;N,N-dimethylmethanamine;1;H10C3N1;CN(C)C;-58.0;;-52.5;-58.8;219.5;-3.2;-2.0;-2.6;-3.8;53;9.8;;17.6;9.8;48;;10,16,18;34;;;;;
13;N,N-diethylethanamine;1;H16C6N1;CCN(CC)CC;-51.7;;-47.1;-54.1;226.9;-3;-2.4;-3.3;-5.1;46;10.8;;18.6;10.8;48;;1,2,5;34;;;;;
14;N,N-dipropylpropan-1-amine;1;H22C9N1;CCCN(CCC)CCC;;;;;;-2.5;-2.7;-4.0;-5.9;46;10.3;;18.1;;48;;2,7;;;;;;
15;aniline;1;H8C6N1;C1=CC=C(C=C1)N;-69.5;-78.9;-64.9;-74.2;203.2;-5.5;-8.9;-8.1;-8.0;53;4.6;3.6;10.7;6.1;48;26;1,2,5;34;;;;;
16;2-methylaniline;1;H10C7N1;CC1=CC=CC=C1N;-66.8;;;-71.7;205.7;-5.6;-8.9;-8.3;-8.1;46;4.5;;;6;48;;;34;;;;;
17;3-methylaniline;1;H10C7N1;CC1=CC(=CC=C1)N;-66.6;;;-71.4;206.3;-5.7;-9.0;-8.4;-8.3;46;4.7;;;6.1;48;;;34;;;;;
18;4-methylaniline;1;H10C7N1;CC1=CC=C(C=C1)N;;;;;;-5.6;-8.9;-8.3;-8.2;46;5.1;;11.3;6.6;48;;2;34;;;;;
19;benzene-1,3-diamine;1;H9C6N2;C1=CC(=CC(=C1)N)N;;;;;;-9.9;-12.6;-11.3;-11.5;46;5;;;;48;;;;;;;;
20;N-methylaniline;1;H10C7N1;CNC1=CC=CC=C1;;;;;;-4.7;-8.1;-7.8;-7.5;46;4.9;;;5.5;51;;;34;;;;;
21;N-ethylaniline;1;H12C8N1;CCNC1=CC=CC=C1;-58.1;;;;214.3;-4.6;-8.1;-8.1;-7.8;46;5.1;;;;51;;;;;;;;
22;N,N-dimethylaniline;1;H12C8N1;CN(C)C1=CC=CC=C1;-53.4;;;;218.0;-3.6;-6.8;-7.4;-7.0;46;5.1;;;;48;;;;;;;;
23;N,N,4-trimethylaniline;1;H14C9N1;CC1=CC=C(C=C1)N(C)C;-50.8;;;;221.4;-3.7;-6.8;-7.6;-7.2;46;5.6;;;;48;;;;;;;;
24;N,N-diethylaniline;1;H16C10N1;CCN(CC)C1=CC=CC=C1;-47.9;;;;224.9;-2.9;-7.3;-8.2;-7.7;46;6.6;;;;48;;;;;;;;
25;naphthalen-1-amine;1;H10C10N1;C1=CC=C2C(=C1)C=CC=C2N;-67.4;;;-73.1;206.1;-7.3;-12.0;-11.0;-10.7;46;3.9;;;5.4;48;;;34;;;;;
26;aziridine;1;H6C2N1;C1CN1;;;;;;-4.5;-3.6;-3.8;-4.7;46;8;;;;48;;;;;;;;
27;azetidine;1;H8C3N1;C1CNC1;-64.3;;;;217.5;-5.6;-3.3;-3.6;-5.4;53;11.3;;;;48;;;;;;;;
28;pyrrolidine;1;H10C4N1;C1CCNC1;-62.5;;-57.1;;219.3;-5.5;-3.9;-4.4;-6.2;53;11.3;;19.6;;48;;2;;;;;;
29;piperidine;1;H12C5N1;C1CCNCC1;-59.9;;-54.5;-61.6;221.2;-5.1;-4.0;-4.6;-6.5;53;11.1;;18.9;11.1;48;;2;34;;;;;
30;azepane;1;H14C6N1;C1CCCNCC1;-59.1;;;;221.8;-4.9;-4.5;-5.2;-7.0;46;11.1;;;;48;;;;;;;;
31;1H-pyrrole;1;H6C4N1;C1=CNC=C1;-58.9;;;;201.1;-4.3;-8.3;-7.0;-7.0;46;-3.8;;;;48;;;;;;;;
32;pyridine;1;H6C5N1;C1=CC=NC=C1;-57.5;-63.6;-52.8;-59.9;215.1;-4.7;-5.7;-5.8;-6.6;53;5.2;3.5;12.3;5.4;48;26;1,2;34,35;;;;;
33;quinoline;1;H8C9N1;C1=CC=C2C(=C1)C=CC=N2;-52.9;;;-57.1;220.1;-5.7;-8.2;-8.3;-9.1;46;4.8;;;5.2;48;;;34;;;;;
34;piperazine;1;H11C4N2;C1CNCCN1;-61.8;;;;219.7;-7.4;-6.1;-6.4;-10.0;53;9.7;;;;48;;;;;;;;
35;acetonitrile;1;H4C2N1;CC#N;-71.8;;;;179.3;-3.9;-5.7;-5.6;-5.2;53;-10;;;;48;;;;;;;;
36;acetonitrile;-1;H2C2N1;CC#N;-77.0;-62.8;;;368.1;-3.9;-5.7;-5.6;-5.1;53;25;31.3;;;49;26;;;;;;;
37;cyanamide;-1;H1C1N2;C(#N)N;-74.9;-65.9;;;343.6;-6.2;-13.7;-10.3;-11.2;46;10.3;16.9;;;51;26;;;;;;;
38;aniline;-1;H6C6N1;C1=CC=C(C=C1)N;-68.8;-60.8;;;361.9;-5.5;-8.9;-8.1;-8.0;53;27.7;30.6;;;48;26;;;;;;;
